,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,リップ,チーク,色,購入,ピンク,*,指,レッド,ツヤ,使用,カメリア,発色,色味,自然,マスク
topic2,*,色,チーク,リップ,購入,発色,ピンク,カラー,血色,唇,使用,肌,頬,CHANEL,指
topic3,色,チーク,リップ,購入,指,肌,*,発色,使用,レッド,イエベ,ピンク,ヘルシー,カメリア,保
topic4,*,チーク,発色,リップ,ピンク,色,レッド,唇,肌,カメリア,値段,容器,気分,購入,頬
topic5,チーク,リップ,色,*,カラー,発色,購入,使用,指,マスク,ピンク,パウダー,肌,メイク,見た目
topic6,*,購入,チーク,リップ,色,タイプ,シャネル,カラー,レッド,限定,唇,ブルベ,使用,肌,指
