,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,色,リップ,*,マット,チーク,購入,色味,乾燥,香り,発色,EM,質感,泥,アイシャドウ,味
topic2,リップ,色,マット,乾燥,唇,*,色味,泥,チーク,発色,購入,好き,質感,メイク,ピンク
topic3,マット,色,乾燥,チーク,唇,リップ,匂い,心地,カラー,購入,*,オススメ,塗り,好き,皮
topic4,リップ,*,EM,色,マット,唇,チーク,購入,乾燥,泥,メイク,カラー,マスク,質感,使用
topic5,*,リップ,色,マット,チーク,泥,EM,唇,メイク,発色,質感,カラー,香り,乾燥,購入
topic6,色,*,マット,リップ,乾燥,カラー,EM,唇,発色,チーク,購入,質感,泥,使用,アイシャドウ
