,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,チーク,リップ,*,使用,発色,レッド,パウダー,色,肌,プラム,付録,購入,雑誌,赤,クリーム
topic2,チーク,自然,リップ,肌,色,血色,頬,使用,唇,ツヤ,赤,ピンク,ツヤ感,指,発色
topic3,オレンジ,付録,レッド,色,チーク,リップ,発色,メイク,自然,ピンク,*,唇,仕上がり,雑誌,赤
topic4,チーク,リップ,色,付録,購入,*,レッド,肌,現品,発色,メイク,プラム,ETVOS,ポーチ,艶
topic5,チーク,リップ,色,レッド,使用,*,プラム,購入,指,付録,メイク,肌,現品,発色,ぽんぽん
topic6,チーク,色,リップ,レッド,購入,プラム,ピンク,使用,肌,付録,*,発色,クリーム,雑誌,血色
