,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,*,チーク,笑,リップ,赤,唇,色,ぽんぽん,ピンク,発色,爪,RP,便利,使用,頬
topic2,グロス,リップ,発色,容器,使用,赤,チーク,好き,購入,指,自然,値段,爪,口紅,頬
topic3,色,リップ,赤,チーク,*,発色,RP,ピンク,使用,ブラシ,爪,購入,唇,Dodo,好き
topic4,*,チーク,赤,RP,真っ赤,使用,発色,頬,唇,血色,色,リップ,購入,口紅,容器
topic5,チーク,リップ,購入,発色,色,唇,ピンク,指,使用,容器,*,頬,RP,値段,自然
topic6,*,チーク,リップ,色,自然,ラメ,発色,血色,使用,パウダー,唇,RP,真っ赤,肌,容器
