,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,*,リップ,香り,乾燥,スティック,唇,保,オーガニック,使用,顔,頬,ベビー,肌,匂い,子供
topic2,*,香り,購入,乾燥,Lip Cream,効果,ベビー,鼻,肌,使用,好き,カモミール,ラベンダー,指,顔
topic3,リップ,香り,*,唇,購入,笑,肌,赤ちゃん,cospa,使用,ケア,オーガニック,ラベンダー,VAAM,安心
topic4,*,購入,香り,乾燥,使用,目元,保,リップ,便利,VAAM,商品,唇,子供,指,効果
topic5,香り,唇,*,使用,鼻,ハンドクリーム,VAAM,オーガニック,ベビー,頬,バター,購入,オイル,肌,スティック
topic6,乾燥,香り,*,唇,使用,VAAM,購入,保,顔,頬,皮,リップ,赤ちゃん,成分,安心
