,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
topic1,*,色,チーク,ハイライト,自然,購入,発色,リップ,ピンク,使用,ツヤ,肌,クリーム,艶,VISEE
topic2,購入,ハイライト,シャネル,*,指,チーク,色,肌,リップ,SP,個人的,使用,艶,普通,唇
topic3,チーク,*,購入,色,使用,クリーム,パウダー,発色,ハイライト,ピンク,肌,指,乾燥,頬,リップ
topic4,チーク,リップ,*,色,クリーム,発色,購入,使用,パウダー,ピンク,指,血色,VISEE,ぽんぽん,綺麗
topic5,*,肌,チーク,色,ハイライト,クリーム,リップ,発色,購入,使用,リニューアル,ツヤ,ピンク,商品,パウダー
topic6,発色,チーク,リップ,肌,クリーム,cospa,使用,色,購入,指,ツヤ,メイク,好き,*,カラー
